product_barcode,product_name,replacement_rank,replacement_barcode,replacement_name,replacement_reason,price_difference,replacement_score
8906000000001,Bisleri Water Regular 2L,1,8906000000235,Kinley Water Classic 500ml,Same subcategory,0.75,86.925
8906000000001,Bisleri Water Regular 2L,2,8906000000108,Bisleri Water Jumbo 2L,Same subcategory,0.75,78.925
8906000000001,Bisleri Water Regular 2L,3,8906000000177,Kinley Water Regular 2L,Same subcategory,0.75,70.925
8906000000002,Sunfeast Dark Fantasy Cookies Family Pack 120g,1,8906000000425,Bisk Farm Cookies Regular 75g,Same subcategory,0.0,87.0
8906000000002,Sunfeast Dark Fantasy Cookies Family Pack 120g,2,8906000000160,Bisk Farm Cookies Family Pack 200g,Same subcategory,3.33,78.667
8906000000002,Sunfeast Dark Fantasy Cookies Family Pack 120g,3,8906000000439,Unibic Cookies Premium 75g,Same subcategory,22.9,68.71
8906000000003,Bailey Water Lite 1L,1,8906000000408,Aquafina Water Family Pack 2L,Same subcategory,-0.77,86.923
8906000000003,Bailey Water Lite 1L,2,8906000000294,Bisleri Water Mini 500ml,Same subcategory,-1.37,78.863
8906000000003,Bailey Water Lite 1L,3,8906000000110,Bisleri Water Value Pack 1L,Same subcategory,2.13,70.787
8906000000004,Apis Honey Family Pack 500g,1,8906000000339,Saffola Honey Value Pack 250g,Same subcategory,-58.32,81.168
8906000000004,Apis Honey Family Pack 500g,2,8906000000315,Apis Honey Classic 250g,Same subcategory,-77.44,71.256
8906000000004,Apis Honey Family Pack 500g,3,8906000000332,Apis Honey Fresh 250g,Same subcategory,-93.32,61.668
8906000000005,Amul Ice Cream Value Pack 700ml,1,8906000000178,Dinshaw's Ice Cream Lite 1L,Same subcategory,-9.5,86.05
8906000000005,Amul Ice Cream Value Pack 700ml,2,8906000000178,Dinshaw's Ice Cream Lite 1L,Same subcategory,-9.5,78.05
8906000000005,Amul Ice Cream Value Pack 700ml,3,8906000000480,McCain Frozen Snacks Regular 400g,Same category fallback,-21.25,68.875
8906000000006,Tata Sampann Dal Regular 2kg,1,8906000000342,24 Mantra Dal Original 1kg,Same subcategory,-13.0,85.7
8906000000006,Tata Sampann Dal Regular 2kg,2,8906000000126,Fortune Dal Fresh 2kg,Same subcategory,16.66,77.334
8906000000006,Tata Sampann Dal Regular 2kg,3,8906000000333,Tata Sampann Dal Jumbo 2kg,Same subcategory,-34.3,67.57
8906000000007,Amul Paneer Lite 200g,1,8906000000062,Mother Dairy Paneer Value Pack 500g,Same subcategory,-37.8,83.22
8906000000007,Amul Paneer Lite 200g,2,8906000000422,Amul Paneer Original 200g,Same subcategory,-39.2,75.08
8906000000007,Amul Paneer Lite 200g,3,8906000000452,Mother Dairy Paneer Fresh 500g,Same subcategory,44.1,66.59
8906000000008,Kinley Water Classic 500ml,1,8906000000104,Bailey Water Lite 1L,Same subcategory,0.35,86.965
8906000000008,Kinley Water Classic 500ml,2,8906000000310,Kinley Water Family Pack 1L,Same subcategory,-2.45,78.755
8906000000008,Kinley Water Classic 500ml,3,8906000000274,Bisleri Water Premium 1L,Same subcategory,-3.95,70.605
8906000000009,Godrej Hair Color Premium 1pc,1,8906000000028,Garnier Hair Color Mini 1pc,Same subcategory,-72.29,79.771
8906000000009,Godrej Hair Color Premium 1pc,2,8906000000318,Garnier Hair Color Value Pack 1pc,Same subcategory,75.36,71.464
8906000000009,Godrej Hair Color Premium 1pc,3,8906000000455,L'Oreal Hair Color Value Pack 1pc,Same subcategory,120.96,58.903999999999996
8906000000010,Tata Sampann Poha Jumbo 500g,1,8906000000023,Organic Tattva Poha Classic 500g,Same subcategory,31.28,83.872
8906000000010,Tata Sampann Poha Jumbo 500g,2,8906000000192,Organic Tattva Poha Mini 500g,Same subcategory,-31.89,75.81099999999999
8906000000010,Tata Sampann Poha Jumbo 500g,3,8906000000238,Local Mill Poha Family Pack 500g,Same subcategory,-55.17,65.483
8906000000011,Sunfeast Dark Fantasy Cookies Original 75g,1,8906000000043,Sunfeast Dark Fantasy Cookies Lite 120g,Same subcategory,-4.5,86.55
8906000000011,Sunfeast Dark Fantasy Cookies Original 75g,2,8906000000189,Unibic Cookies Classic 75g,Same subcategory,-15.85,77.415
8906000000011,Sunfeast Dark Fantasy Cookies Original 75g,3,8906000000439,Unibic Cookies Premium 75g,Same subcategory,-48.83,66.117
8906000000012,Pomegranate 1kg,1,8906000000366,Sweet Lime 1kg,Same subcategory,-5.2,86.48
8906000000012,Pomegranate 1kg,2,8906000000087,Pomegranate 1kg,Same subcategory,16.75,77.325
8906000000012,Pomegranate 1kg,3,8906000000044,Apple 1kg,Same subcategory,65.36,64.464
8906000000013,Aashirvaad Suji Original 1kg,1,8906000000042,Rajdhani Suji Jumbo 1kg,Same subcategory,-57.32,81.268
8906000000013,Aashirvaad Suji Original 1kg,2,8906000000239,Rajdhani Suji Premium 500g,Same subcategory,-59.52,73.048
8906000000013,Aashirvaad Suji Original 1kg,3,8906000000409,Local Mill Suji Value Pack 500g,Same subcategory,-61.27,64.873
8906000000014,Parle Small Snacks Jumbo 50g,1,8906000000415,Parle Small Snacks Original 50g,Same subcategory,1.8,86.82
8906000000014,Parle Small Snacks Jumbo 50g,2,8906000000085,Balaji Small Snacks Family Pack 50g,Same subcategory,-4.3,78.57
8906000000014,Parle Small Snacks Jumbo 50g,3,8906000000448,Haldiram Small Snacks Fresh 50g,Same subcategory,7.46,70.254
8906000000015,Sofy Sanitary Care Premium 30pc,1,8906000000215,Stayfree Sanitary Care Classic 30pc,Same subcategory,4.51,86.549
8906000000015,Sofy Sanitary Care Premium 30pc,2,8906000000184,Whisper Sanitary Care Mini 7pc,Same subcategory,13.3,77.67
8906000000015,Sofy Sanitary Care Premium 30pc,3,8906000000410,Whisper Sanitary Care Premium 15pc,Same subcategory,-31.0,67.9
8906000000016,Aquafina Water Family Pack 500ml,1,8906000000294,Bisleri Water Mini 500ml,Same subcategory,1.0,86.9
8906000000016,Aquafina Water Family Pack 500ml,2,8906000000408,Aquafina Water Family Pack 2L,Same subcategory,1.6,78.84
8906000000016,Aquafina Water Family Pack 500ml,3,8906000000003,Bailey Water Lite 1L,Same subcategory,2.37,70.763
8906000000017,Pepsodent Toothbrush Family Pack 4pc,1,8906000000277,Colgate Toothbrush Lite 1pc,Same subcategory,2.7,86.73
8906000000017,Pepsodent Toothbrush Family Pack 4pc,2,8906000000084,Colgate Toothbrush Fresh 1pc,Same subcategory,11.7,77.83
8906000000017,Pepsodent Toothbrush Family Pack 4pc,3,8906000000081,Oral-B Toothbrush Value Pack 1pc,Same subcategory,25.6,68.44
8906000000018,Sensodyne Toothbrush Lite 2pc,1,8906000000081,Oral-B Toothbrush Value Pack 1pc,Same subcategory,-23.9,84.61
8906000000018,Sensodyne Toothbrush Lite 2pc,2,8906000000084,Colgate Toothbrush Fresh 1pc,Same subcategory,-37.8,75.22
8906000000018,Sensodyne Toothbrush Lite 2pc,3,8906000000277,Colgate Toothbrush Lite 1pc,Same subcategory,-46.8,66.32
8906000000019,Tops Jam Lite 500g,1,8906000000228,Tops Jam Lite 200g,Same subcategory,-0.05,86.995
8906000000019,Tops Jam Lite 500g,2,8906000000265,Mapro Jam Jumbo 500g,Same subcategory,-1.2,78.88
8906000000019,Tops Jam Lite 500g,3,8906000000050,Tops Jam Jumbo 500g,Same subcategory,-21.8,68.82
8906000000020,Continental Coffee Lite 100g,1,8906000000296,Nescafe Coffee Fresh 50g,Same subcategory,1.78,86.822
8906000000020,Continental Coffee Lite 100g,2,8906000000030,Nescafe Coffee Value Pack 50g,Same subcategory,-18.82,77.118
8906000000020,Continental Coffee Lite 100g,3,8906000000419,Nescafe Coffee Mini 50g,Same subcategory,104.38,60.562000000000005
8906000000021,Maggi Soup Original 100g,1,8906000000340,Maggi Soup Value Pack 45g,Same subcategory,15.15,85.485
8906000000021,Maggi Soup Original 100g,2,8906000000281,Knorr Soup Family Pack 100g,Same subcategory,90.3,69.97
8906000000021,Maggi Soup Original 100g,3,8906000000282,Knorr Soup Fresh 45g,Same subcategory,97.6,61.24
8906000000022,McCain Frozen Snacks Jumbo 400g,1,8906000000046,Godrej Yummiez Frozen Snacks Jumbo 1kg,Same subcategory,-11.97,85.803
8906000000022,McCain Frozen Snacks Jumbo 400g,2,8906000000176,ITC Master Chef Frozen Snacks Original 1kg,Same subcategory,-13.0,77.7
8906000000022,McCain Frozen Snacks Jumbo 400g,3,8906000000286,McCain Frozen Snacks Family Pack 1kg,Same subcategory,13.5,69.65
8906000000023,Organic Tattva Poha Classic 500g,1,8906000000010,Tata Sampann Poha Jumbo 500g,Same subcategory,-31.28,83.872
8906000000023,Organic Tattva Poha Classic 500g,2,8906000000192,Organic Tattva Poha Mini 500g,Same subcategory,-63.17,72.68299999999999
8906000000023,Organic Tattva Poha Classic 500g,3,8906000000238,Local Mill Poha Family Pack 500g,Same subcategory,-86.45,62.355
8906000000024,Spring Onion 1 bunch,1,8906000000224,Mint 1 bunch,Same subcategory,-3.25,86.675
8906000000024,Spring Onion 1 bunch,2,8906000000267,Spring Onion 1 bunch,Same subcategory,6.95,78.305
8906000000024,Spring Onion 1 bunch,3,8906000000381,Mint 1 bunch,Same subcategory,6.95,70.305
